1,"Bottle Unscramblers",/solutions/bottle-unscramblers
2,"Bottle Cleaners",/solutions/bottle-cleaners
3,"Liquid Fillers",/solutions/liquid-fillers
4,Cappers,/solutions/cappers
5,Labelers,/solutions/labelers
6,"Induction Sealers",/solutions/induction-sealers
7,Conveyors,/solutions/conveyors
8,"Quality Control",/solutions/quality-control
9,"Rotary Tables",/solutions/rotary-tables
10,"Torque Meters",/solutions/torque-meters
11,"Rotary Feeders / Elevators / Hoppers",/solutions/rotary-feeders-elevators-hoppers
